filename,model,transcript,latency
02_indiranagar_quiet.wav,wav2vec2,मेरागा रीनद रनागर के पासहै,0.419
03_whitefield_quiet.wav,wav2vec2,मै वई फिलसे हो वहाँ से डेली चावल करता हो,0.464
04_electroniccity_quiet.wav,wav2vec2,पअलकतरोंनिक सिटे मैं ये कम्पड़ी में काम करताह ता पेल है,0.454
05_marathahalli_quiet.wav,wav2vec2,मारता लिहरियाँ मैं रुम लिया हैमेी नहें,0.336
06_jayanagar_noise.wav,wav2vec2,जाया नेगर में रस्ता हो का प्याँ शाएरे है,0.421
07_rajajinagar_noise.wav,wav2vec2,राज़ा सिन कर से हूँ में बाहुत दोर नहीं है,0.402
08_hebbal_noise.wav,wav2vec2,हबल की पास एक भाखतरी मे काम करता हो,0.382
09_yelahanka_noise.wav,wav2vec2,्यालाहका मैं मेरे बाई रहता हो मैं भी बाशी हूँ,0.439
10_banashankari_noise.wav,wav2vec2,बाना छंकर एरियाँ मे रूम दुनथ रहा होआपे,0.458
11_hsrlayout_rushed.wav,wav2vec2,हझशर लेयोट मे हो मे हाहा पहि रहता हो,0.522
12_btmlayout_rushed.wav,wav2vec2,बीटिों ने हँचे हूँ क्या जा प्या वहा,0.356
13_majestic_rushed.wav,wav2vec2,मझल से क्या पास खी हूँ बस्थर के पीछे,0.34
14_silkboard_rushed.wav,wav2vec2,शिल्गु ड्यरया में रहता हो टाहविक बहुत होटी हईहा,0.397
15_bellandur_rushed.wav,wav2vec2,बलमदुर में हो अभी हाँ खंटुम कर लोर रस,0.397
16_sarjapur_whisper.wav,wav2vec2,सरचचा प रोर पेर रहता हू औफिसके पास है,0.459
17_bommanahalli_whisper.wav,wav2vec2,उम्ह न हली में हू हाँ बाई कहा टरस् तो,0.374
18_krpuram_whisper.wav,wav2vec2,मैयार परम से हो में टहन प्याहाता जाता हूँ,0.38
19_peenya_whisper.wav,wav2vec2,पीनिय इनडस रे लेरियाँ के पास रखता हो,0.372
20_yeshwanthpur_whisper.wav,wav2vec2,यहसवन पूर मैं एक रूम में रहता हूँ सारी देसस्पे,0.487
